epochs,walk_length,window,n_walks,d,neg_samples,mean_auc,std_auc,min_auc,max_auc,n_windows,time_seconds,error,auc_2000_2005,auc_2005_2010,auc_2010_2015,auc_2015_2020
5,20,10,10,64,5,0.697085373746247,0.00902577126563938,0.6822906699865927,0.7054536605129885,4,274.8884160518646,,0.7031531651657253,0.6822906699865927,0.6974439993196813,0.7054536605129885
5,30,7,10,32,15,0.6975623843501306,0.008892708346177686,0.6829699004722769,0.7057035881040379,4,690.6543142795563,,0.7036421227823292,0.6829699004722769,0.6979339260418781,0.7057035881040379
5,20,3,15,32,5,0.6974205635647647,0.008902178934396016,0.6827882087509474,0.7053441211324274,4,155.72893166542053,,0.7037416612751698,0.6827882087509474,0.697808263100514,0.7053441211324274
5,40,5,10,32,15,0.6982311133788363,0.009030019386516005,0.683421048347,0.7064385360139084,4,708.2190370559692,,0.7045046176650961,0.683421048347,0.6985602514893404,0.7064385360139084
5,30,3,20,64,5,0.7000047696569857,0.009103124792702415,0.6851193168568541,0.708236162455695,4,319.86018776893616,,0.7064938191265807,0.6851193168568541,0.7001697801888132,0.708236162455695
5,20,5,20,64,5,0.6980024699795381,0.008909127885355741,0.6833987798318051,0.7061048945463999,4,322.37386775016785,,0.7042060641514772,0.6833987798318051,0.6983001413884702,0.7061048945463999
5,20,3,15,32,10,0.6974531863563643,0.00881268289453891,0.6829454428065271,0.7052257496084483,4,236.34978675842285,,0.7037435175099901,0.6829454428065271,0.697898035500492,0.7052257496084483
5,30,7,10,64,5,0.697617991247296,0.008918776267710054,0.6830037629512394,0.7058465173140517,4,344.8668963909149,,0.7036835913983822,0.6830037629512394,0.6979380933255104,0.7058465173140517
5,20,10,10,64,10,0.6969306995754045,0.008923525855560275,0.6822753354677273,0.7051510179045152,4,418.85920333862305,,0.7029284218399828,0.6822753354677273,0.6973680230893933,0.7051510179045152
5,40,5,10,64,5,0.6982945201237195,0.008952955104068612,0.683611535312461,0.7064303949539174,4,350.9565794467926,,0.7045182271111413,0.683611535312461,0.6986179231173587,0.7064303949539174
5,20,3,15,32,15,0.697775115302727,0.008839440295210456,0.6832900979612824,0.7060352826931211,4,312.74986124038696,,0.7036372991562753,0.6832900979612824,0.6981377814002292,0.7060352826931211
5,30,3,20,64,10,0.6997826671204961,0.009009435906044545,0.6850159765806202,0.7078118214168382,4,484.49093532562256,,0.7062707361133801,0.6850159765806202,0.700032134371146,0.7078118214168382
5,20,3,15,64,5,0.6974825166571389,0.008898145297530604,0.6828282391200857,0.7053667070999222,4,156.91124033927917,,0.7037729526253426,0.6828282391200857,0.6979621677832051,0.7053667070999222
5,20,5,20,64,10,0.6983970910446893,0.009003153832056273,0.6836512730096633,0.7066606062021552,4,494.90910291671753,,0.704595619540652,0.6836512730096633,0.6986808654262865,0.7066606062021552
5,30,10,20,32,10,0.6980514381966315,0.009007253173700267,0.6833206577667463,0.706091041847972,4,1400.4441630840302,,0.7045990100848878,0.6833206577667463,0.6981950430869198,0.706091041847972
5,40,7,20,32,10,0.6985427486670945,0.008936130518941186,0.6839215588700389,0.7065164901110428,4,1443.5751013755798,,0.7050258783340951,0.6839215588700389,0.698707067353201,0.7065164901110428
5,30,7,10,64,10,0.6975307789985651,0.008920899494183974,0.6828792681718923,0.705691621083048,4,519.8782632350922,,0.7036044775390103,0.6828792681718923,0.6979477492003099,0.705691621083048
5,40,5,10,64,10,0.6982375326508244,0.00898281706385141,0.6835165456280576,0.706463411128415,4,532.493194103241,,0.7044260269475471,0.6835165456280576,0.698544146899278,0.706463411128415
5,20,10,10,64,15,0.6970156397358115,0.00887363521395882,0.6824570068512087,0.7051241680738031,4,560.3502788543701,,0.7031096343258849,0.6824570068512087,0.6973717496923495,0.7051241680738031
5,20,3,15,64,10,0.6972967626194868,0.00892302132486837,0.6826480234502836,0.7053117706989304,4,234.8986415863037,,0.7035844976002144,0.6826480234502836,0.6976427587285188,0.7053117706989304
5,20,10,10,128,5,0.6969605832689661,0.008936979935993877,0.6823581861340262,0.7053603556786476,4,277.354722738266,,0.7029303434822008,0.6823581861340262,0.6971934477809902,0.7053603556786476
5,20,3,15,64,15,0.697555956560146,0.008863493885147412,0.6829883866110644,0.7053541410805492,4,312.2366542816162,,0.7039662095392577,0.6829883866110644,0.6979150890097126,0.7053541410805492
5,30,3,20,64,15,0.6997485424934297,0.009031455261236205,0.6849833372687739,0.7079360428931611,4,642.6769154071808,,0.7061670265167307,0.6849833372687739,0.6999077632950529,0.7079360428931611
5,20,5,20,64,15,0.6980872025819087,0.00897908759190442,0.6833678770246663,0.7063348896548528,4,646.144971370697,,0.7042275111667258,0.6833678770246663,0.69841853248139,0.7063348896548528
5,20,3,15,128,5,0.6975437890989835,0.00890461973152693,0.682850794154374,0.7053386023330026,4,156.1561098098755,,0.7038853997036212,0.682850794154374,0.6981003602049367,0.7053386023330026
5,30,7,10,64,15,0.6974525323797307,0.009012786777844574,0.6826599956079269,0.7057580705450465,4,694.6386251449585,,0.703531487395077,0.6826599956079269,0.6978605759708721,0.7057580705450465
