epochs,walk_length,window,n_walks,d,neg_samples,mean_auc,std_auc,min_auc,max_auc,n_windows,time_seconds
3,20,10,20,128,10,0.6976227397808227,0.008951485996871783,0.6829491380262438,0.7058611536184473,4,380.00476264953613
3,20,10,20,128,15,0.6975394057191484,0.009003106173262013,0.6827929882482966,0.705860315746632,4,551.4831762313843
3,20,10,30,32,5,0.6979299818791167,0.00896108921927642,0.6832477173220649,0.7061056439951845,4,384.8404483795166
3,20,10,30,32,10,0.6977667975515889,0.008932630180768158,0.6831087398064106,0.7058266736433723,4,557.5394608974457
3,20,10,30,32,15,0.6976424995799695,0.008889253922627072,0.6830514442516075,0.7056407145167168,4,734.9225127696991
3,20,10,30,64,5,0.697879881878492,0.00896712709689269,0.683187036223467,0.7060378287157619,4,376.5342366695404
3,20,10,30,64,10,0.6976925097985565,0.008943774639995914,0.6830023529076149,0.7057800260467719,4,558.2700886726379
3,20,10,30,64,15,0.6976318834416378,0.008789097607670219,0.6831193691125614,0.7052231791183757,4,738.3918251991272
3,20,10,30,128,5,0.6979616797082837,0.00897203118681118,0.6832750942156387,0.7063165142569436,4,377.81007266044617
3,20,10,30,128,10,0.6977823996347688,0.009006588793171543,0.6830284074548812,0.7061213130196536,4,558.6230511665344
3,20,10,30,128,15,0.697826276378489,0.008972021637822203,0.6831052953085996,0.7060453990364436,4,740.2881062030792
3,30,3,10,32,5,0.6974314395465728,0.008795416124518883,0.6828925999404449,0.7049530754398472,4,75.22121548652649
3,30,3,10,32,10,0.6972725325893463,0.008978149820994067,0.6825254569049172,0.705416012394356,4,109.84930181503296
3,30,3,10,32,15,0.6971936877402929,0.008806594521725901,0.6826931356813655,0.7048353529995708,4,144.35852980613708
3,30,3,10,64,5,0.6972221288972509,0.008802484674140128,0.682662732657543,0.7047113324964658,4,75.49748182296753
3,30,3,10,64,10,0.6971025696093534,0.008873208114437954,0.6823858372023917,0.7044398064337549,4,110.13394808769226
